k;0.367
f;0.02
ke;0.958
max H2;16.8797
max Q;380.737
oscillation t;110

time;Q;H1;H2
0;0;22.2517;11.2649
0.367;0.939548;22.2517;11.2649
0.734;2.08101;22.2516;11.265
1.101;3.95949;22.2515;11.2651
1.468;5.56857;22.2514;11.2652
1.835;6.60494;22.2512;11.2654
2.202;7.28698;22.251;11.2656
2.569;7.80684;22.2508;11.2658
2.936;8.26831;22.2506;11.266
3.303;8.72991;22.2504;11.2662
3.67;9.22896;22.2501;11.2664
4.037;9.79529;22.2499;11.2667
4.404;10.4598;22.2496;11.2669
4.771;11.2617;22.2494;11.2672
5.138;13.0971;22.249;11.2675
5.505;15.6121;22.2487;11.2679
5.872;17.8066;22.2482;11.2684
6.239;19.7042;22.2477;11.2688
6.606;21.3395;22.2472;11.2694
6.973;22.7515;22.2466;11.27
7.34;23.9788;22.246;11.2706
7.707;25.0571;22.2454;11.2712
8.074;26.0178;22.2447;11.2719
8.441;26.8877;22.244;11.2726
8.808;27.6897;22.2433;11.2733
9.175;28.4424;22.2425;11.274
9.542;29.1617;22.2418;11.2748
9.909;29.8604;22.241;11.2756
10.276;30.5497;22.2402;11.2764
10.643;31.2387;22.2394;11.2772
11.01;31.9357;22.2386;11.278
11.377;32.6479;22.2377;11.2788
11.744;33.382;22.2369;11.2797
12.111;35.1707;22.236;11.2806
12.478;37.9014;22.235;11.2816
12.845;40.5188;22.234;11.2826
13.212;43.0224;22.2329;11.2837
13.579;45.4132;22.2317;11.2848
13.946;47.6927;22.2305;11.2861
14.313;49.8636;22.2292;11.2873
14.68;51.929;22.2279;11.2887
15.047;53.8926;22.2265;11.2901
15.414;55.7585;22.2251;11.2915
15.781;57.5314;22.2236;11.293
16.148;59.2157;22.2221;11.2945
16.515;60.8163;22.2205;11.2961
16.882;62.3381;22.2189;11.2977
17.249;63.7858;22.2172;11.2994
17.616;65.1643;22.2155;11.301
17.983;66.4783;22.2138;11.3028
18.35;67.7322;22.212;11.3045
18.717;68.9305;22.2103;11.3063
19.084;70.0775;22.2084;11.3081
19.451;71.1771;22.2066;11.31
19.818;72.2333;22.2047;11.3119
20.185;73.2496;22.2028;11.3138
20.552;74.2296;22.2009;11.3157
20.919;75.1765;22.1989;11.3177
21.286;76.0935;22.1969;11.3197
21.653;76.9833;22.1949;11.3217
22.02;77.8488;22.1929;11.3237
22.387;78.6926;22.1908;11.3258
22.754;79.517;22.1888;11.3278
23.121;80.3243;22.1867;11.3299
23.488;81.1166;22.1845;11.332
23.855;81.8959;22.1824;11.3342
24.222;83.3509;22.1803;11.3363
24.589;85.4327;22.178;11.3385
24.956;87.452;22.1758;11.3408
25.323;89.4103;22.1735;11.3431
25.69;91.3088;22.1711;11.3455
26.057;93.149;22.1687;11.3479
26.424;94.9325;22.1662;11.3504
26.791;96.6609;22.1637;11.3529
27.158;98.3356;22.1611;11.3554
27.525;99.9585;22.1585;11.358
27.892;101.531;22.1559;11.3607
28.259;103.055;22.1532;11.3634
28.626;104.532;22.1505;11.3661
28.993;105.964;22.1477;11.3689
29.36;107.352;22.1449;11.3716
29.727;108.699;22.1421;11.3745
30.094;110.005;22.1392;11.3773
30.461;111.272;22.1363;11.3802
30.828;112.502;22.1334;11.3832
31.195;113.697;22.1304;11.3861
31.562;114.858;22.1274;11.3891
31.929;115.986;22.1244;11.3922
32.296;117.082;22.1214;11.3952
32.663;118.15;22.1183;11.3983
33.03;119.188;22.1152;11.4014
33.397;120.2;22.112;11.4046
33.764;121.186;22.1089;11.4077
34.131;122.148;22.1057;11.4109
34.498;123.086;22.1025;11.4141
34.865;124.002;22.0992;11.4174
35.232;124.897;22.096;11.4206
35.599;125.772;22.0927;11.4239
35.966;126.629;22.0894;11.4272
36.333;128.089;22.086;11.4305
36.7;130.129;22.0827;11.4339
37.067;132.126;22.0792;11.4374
37.434;134.083;22.0757;11.4409
37.801;136;22.0722;11.4444
38.168;137.876;22.0686;11.448
38.535;139.714;22.065;11.4516
38.902;141.512;22.0613;11.4553
39.269;143.273;22.0575;11.459
39.636;144.996;22.0538;11.4628
40.003;146.682;22.0499;11.4666
40.37;148.333;22.0461;11.4705
40.737;149.947;22.0422;11.4744
41.104;151.527;22.0382;11.4784
41.471;153.073;22.0342;11.4824
41.838;154.586;22.0302;11.4864
42.205;156.066;22.0261;11.4905
42.572;157.513;22.022;11.4946
42.939;158.93;22.0178;11.4987
43.306;160.316;22.0137;11.5029
43.673;161.671;22.0094;11.5071
44.04;162.998;22.0052;11.5114
44.407;164.296;22.0009;11.5157
44.774;165.566;21.9966;11.52
45.141;166.809;21.9922;11.5244
45.508;168.025;21.9878;11.5288
45.875;169.215;21.9834;11.5332
46.242;170.38;21.979;11.5376
46.609;171.521;21.9745;11.5421
46.976;172.637;21.97;11.5466
47.343;173.73;21.9654;11.5512
47.71;174.801;21.9609;11.5557
48.077;176.273;21.9563;11.5603
48.444;178.136;21.9516;11.565
48.811;179.968;21.9469;11.5697
49.178;181.77;21.9422;11.5744
49.545;183.541;21.9374;11.5792
49.912;185.281;21.9326;11.584
50.279;186.993;21.9277;11.5889
50.646;188.674;21.9228;11.5938
51.013;190.327;21.9178;11.5988
51.38;191.952;21.9128;11.6038
51.747;193.548;21.9077;11.6089
52.114;195.116;21.9026;11.614
52.481;196.656;21.8975;11.6191
52.848;198.169;21.8923;11.6243
53.215;199.656;21.8871;11.6295
53.582;201.116;21.8818;11.6347
53.949;202.55;21.8766;11.64
54.316;203.959;21.8712;11.6454
54.683;205.342;21.8659;11.6507
55.05;206.701;21.8605;11.6561
55.417;208.035;21.855;11.6616
55.784;209.345;21.8496;11.667
56.151;210.631;21.8441;11.6725
56.518;211.894;21.8385;11.6781
56.885;213.134;21.8329;11.6836
57.252;214.351;21.8273;11.6892
57.619;215.547;21.8217;11.6949
57.986;216.721;21.816;11.7005
58.353;217.873;21.8103;11.7062
58.72;219.004;21.8046;11.712
59.087;220.115;21.7989;11.7177
59.454;221.205;21.7931;11.7235
59.821;222.276;21.7873;11.7293
60.188;223.637;21.7814;11.7352
60.555;225.283;21.7755;11.741
60.922;226.904;21.7696;11.747
61.289;228.501;21.7636;11.7529
61.656;230.074;21.7576;11.759
62.023;231.623;21.7516;11.765
62.39;233.15;21.7455;11.7711
62.757;234.652;21.7394;11.7772
63.124;236.133;21.7332;11.7834
63.491;237.59;21.727;11.7896
63.858;239.025;21.7207;11.7959
64.225;240.438;21.7144;11.8021
64.592;241.829;21.7081;11.8085
64.959;243.198;21.7018;11.8148
65.326;244.546;21.6954;11.8212
65.693;245.873;21.6889;11.8276
66.06;247.179;21.6825;11.8341
66.427;248.464;21.676;11.8406
66.794;249.729;21.6695;11.8471
67.161;250.974;21.6629;11.8537
67.528;252.199;21.6563;11.8603
67.895;253.405;21.6497;11.8669
68.262;254.591;21.643;11.8736
68.629;255.758;21.6363;11.8803
68.996;256.907;21.6296;11.887
69.363;258.037;21.6229;11.8937
69.73;259.148;21.6161;11.9005
70.097;260.242;21.6093;11.9073
70.464;261.318;21.6024;11.9142
70.831;262.376;21.5956;11.921
71.198;263.417;21.5887;11.9279
71.565;264.441;21.5818;11.9348
71.932;265.448;21.5748;11.9418
72.299;266.696;21.5678;11.9487
72.666;268.18;21.5608;11.9558
73.033;269.643;21.5538;11.9628
73.4;271.086;21.5467;11.9699
73.767;272.508;21.5396;11.977
74.134;273.91;21.5324;11.9842
74.501;275.293;21.5252;11.9914
74.868;276.655;21.518;11.9986
75.235;277.998;21.5107;12.0059
75.602;279.322;21.5034;12.0132
75.969;280.626;21.4961;12.0205
76.336;281.911;21.4887;12.0279
76.703;283.177;21.4813;12.0353
77.07;284.425;21.4738;12.0427
77.437;285.654;21.4664;12.0502
77.804;286.865;21.4589;12.0577
78.171;288.057;21.4513;12.0653
78.538;289.232;21.4438;12.0728
78.905;290.389;21.4362;12.0804
79.272;291.528;21.4285;12.0881
79.639;292.65;21.4209;12.0957
80.006;293.754;21.4132;12.1034
80.373;294.842;21.4055;12.1111
80.74;295.913;21.3977;12.1189
81.107;296.967;21.39;12.1266
81.474;298.004;21.3822;12.1344
81.841;299.025;21.3743;12.1422
82.208;300.03;21.3665;12.1501
82.575;301.019;21.3586;12.158
82.942;301.992;21.3507;12.1659
83.309;302.95;21.3428;12.1738
83.676;303.892;21.3348;12.1818
84.043;304.938;21.3268;12.1897
84.41;306.087;21.3188;12.1978
84.777;307.219;21.3108;12.2058
85.144;308.335;21.3027;12.2139
85.511;309.435;21.2946;12.222
85.878;310.518;21.2865;12.2301
86.245;311.585;21.2783;12.2382
86.612;312.637;21.2702;12.2464
86.979;313.673;21.262;12.2546
87.346;314.693;21.2537;12.2629
87.713;315.698;21.2455;12.2711
88.08;316.687;21.2372;12.2794
88.447;317.662;21.2289;12.2877
88.814;318.622;21.2205;12.2961
89.181;319.567;21.2121;12.3044
89.548;320.497;21.2038;12.3128
89.915;321.414;21.1953;12.3212
90.282;322.315;21.1869;12.3297
90.649;323.203;21.1784;12.3381
91.016;324.077;21.17;12.3466
91.383;324.936;21.1615;12.3551
91.75;325.783;21.1529;12.3637
92.117;326.615;21.1444;12.3722
92.484;327.435;21.1358;12.3808
92.851;328.241;21.1272;12.3894
93.218;329.034;21.1186;12.398
93.585;329.814;21.11;12.4066
93.952;330.581;21.1013;12.4153
94.319;331.335;21.0926;12.424
94.686;332.077;21.0839;12.4327
95.053;332.807;21.0752;12.4414
95.42;333.525;21.0665;12.4501
95.787;334.23;21.0577;12.4589
96.154;335.024;21.049;12.4676
96.521;335.904;21.0402;12.4764
96.888;336.77;21.0313;12.4852
97.255;337.624;21.0225;12.4941
97.622;338.464;21.0136;12.5029
97.989;339.291;21.0048;12.5118
98.356;340.106;20.9959;12.5207
98.723;340.907;20.9869;12.5297
99.09;341.696;20.978;12.5386
99.457;342.473;20.969;12.5476
99.824;343.238;20.96;12.5566
100.191;343.99;20.951;12.5656
100.558;344.73;20.942;12.5746
100.925;345.458;20.9329;12.5836
101.292;346.175;20.9239;12.5927
101.659;346.879;20.9148;12.6018
102.026;347.572;20.9057;12.6109
102.393;348.254;20.8966;12.62
102.76;348.925;20.8874;12.6291
103.127;349.584;20.8783;12.6383
103.494;350.232;20.8691;12.6475
103.861;350.869;20.8599;12.6567
104.228;351.495;20.8507;12.6659
104.595;352.111;20.8415;12.6751
104.962;352.716;20.8323;12.6843
105.329;353.31;20.823;12.6936
105.696;353.895;20.8137;12.7029
106.063;354.469;20.8044;12.7121
106.43;355.032;20.7951;12.7214
106.797;355.586;20.7858;12.7308
107.164;356.13;20.7765;12.7401
107.531;356.664;20.7672;12.7494
