k;0.367
f;0.02
ke;1.116
max H2;17.2121
max Q;431.563
oscillation t;129

time;Q;H1;H2
0;0;24.9965;9.32945
0.367;-0.896898;24.9964;9.32952
0.734;0.607988;24.9963;9.32956
1.101;1.59256;24.9963;9.32964
1.468;3.4506;24.9962;9.32974
1.835;6.08088;24.996;9.32987
2.202;7.48258;24.9958;9.33007
2.569;8.29167;24.9956;9.33028
2.936;8.8189;24.9954;9.33051
3.303;9.21457;24.9952;9.33075
3.67;9.55524;24.9949;9.331
4.037;9.88132;24.9947;9.33125
4.404;10.2153;24.9944;9.33151
4.771;10.571;24.9941;9.33179
5.138;10.9585;24.9938;9.33207
5.505;11.387;24.9935;9.33236
5.872;11.8663;24.9932;9.33266
6.239;12.4081;24.9929;9.33298
6.606;13.0274;24.9926;9.33331
6.973;13.7442;24.9922;9.33366
7.34;16.1128;24.9919;9.33403
7.707;19.5281;24.9914;9.33451
8.074;22.3746;24.9908;9.33506
8.441;24.7067;24.9902;9.33568
8.808;26.6003;24.9896;9.33636
9.175;28.1355;24.9888;9.33708
9.542;29.3866;24.9881;9.33783
9.909;30.4178;24.9873;9.33862
10.276;31.2816;24.9865;9.33943
10.643;32.02;24.9856;9.34026
11.01;32.6659;24.9848;9.34111
11.377;33.2445;24.9839;9.34197
11.744;33.7754;24.9831;9.34285
12.111;34.2733;24.9822;9.34374
12.478;34.7496;24.9813;9.34465
12.845;35.2129;24.9803;9.34556
13.212;35.67;24.9794;9.34649
13.579;36.1261;24.9785;9.34743
13.946;36.5855;24.9775;9.34839
14.313;37.0514;24.9766;9.34935
14.68;37.5268;24.9756;9.35033
15.047;38.0139;24.9746;9.35132
15.414;38.5149;24.9736;9.35232
15.781;39.0318;24.9726;9.35334
16.148;39.5664;24.9715;9.35437
16.515;40.1204;24.9705;9.35541
16.882;40.6957;24.9694;9.35647
17.249;41.294;24.9684;9.35755
17.616;41.9173;24.9673;9.35864
17.983;42.5676;24.9662;9.35974
18.35;44.8534;24.965;9.36087
18.717;48.5719;24.9638;9.36209
19.084;52.0882;24.9625;9.36341
19.451;55.4026;24.9611;9.36482
19.818;58.5178;24.9596;9.36632
20.185;61.4384;24.958;9.36789
20.552;64.1709;24.9564;9.36954
20.919;66.7227;24.9546;9.37126
21.286;69.1025;24.9529;9.37304
21.653;71.3194;24.951;9.37488
22.02;73.3831;24.9491;9.37678
22.387;75.3033;24.9472;9.37873
22.754;77.0898;24.9452;9.38073
23.121;78.7522;24.9431;9.38277
23.488;80.2999;24.9411;9.38486
23.855;81.7419;24.9389;9.38698
24.222;83.0867;24.9368;9.38914
24.589;84.3425;24.9346;9.39134
24.956;85.5171;24.9323;9.39356
25.323;86.6175;24.9301;9.39582
25.69;87.6506;24.9278;9.3981
26.057;88.6224;24.9255;9.40041
26.424;89.5388;24.9232;9.40275
26.791;90.4052;24.9208;9.40511
27.158;91.2263;24.9184;9.40749
27.525;92.0067;24.916;9.40989
27.892;92.7505;24.9136;9.41231
28.259;93.4615;24.9112;9.41475
28.626;94.1432;24.9087;9.41721
28.993;94.7986;24.9062;9.41969
29.36;95.4306;24.9037;9.42218
29.727;96.042;24.9012;9.42469
30.094;96.635;24.8987;9.42722
30.461;97.2119;24.8961;9.42976
30.828;97.7746;24.8936;9.43232
31.195;98.325;24.891;9.43489
31.562;98.8647;24.8884;9.43747
31.929;99.3951;24.8858;9.44007
32.296;99.9178;24.8832;9.44268
32.663;100.434;24.8806;9.44531
33.03;100.944;24.878;9.44795
33.397;101.451;24.8753;9.4506
33.764;101.954;24.8726;9.45327
34.131;102.454;24.87;9.45595
34.498;102.953;24.8673;9.45864
34.865;103.45;24.8646;9.46134
35.232;103.948;24.8618;9.46406
35.599;104.445;24.8591;9.46679
35.966;104.944;24.8564;9.46954
36.333;106.562;24.8536;9.4723
36.7;109.195;24.8508;9.47512
37.067;111.723;24.8479;9.47802
37.434;114.149;24.8449;9.48098
37.801;116.476;24.8419;9.48401
38.168;118.707;24.8388;9.48709
38.535;120.845;24.8357;9.49023
38.902;122.893;24.8325;9.49342
39.269;124.855;24.8292;9.49667
39.636;126.734;24.8259;9.49997
40.003;128.533;24.8226;9.50332
40.37;130.256;24.8192;9.50671
40.737;131.905;24.8158;9.51015
41.104;133.485;24.8123;9.51362
41.471;134.998;24.8088;9.51714
41.838;136.447;24.8052;9.5207
42.205;137.836;24.8016;9.5243
42.572;139.166;24.798;9.52793
42.939;140.442;24.7943;9.53159
43.306;141.666;24.7906;9.53529
43.673;142.84;24.7869;9.53902
44.04;143.967;24.7831;9.54278
44.407;145.049;24.7793;9.54657
44.774;146.089;24.7755;9.55039
45.141;147.089;24.7717;9.55423
45.508;148.052;24.7678;9.5581
45.875;148.978;24.7639;9.56199
46.242;149.871;24.76;9.56591
46.609;150.732;24.7561;9.56985
46.976;151.563;24.7521;9.57381
47.343;152.365;24.7481;9.57779
47.71;153.141;24.7441;9.5818
48.077;153.891;24.7401;9.58582
48.444;154.618;24.736;9.58987
48.811;155.323;24.732;9.59393
49.178;156.006;24.7279;9.59801
49.545;156.67;24.7238;9.60211
49.912;157.315;24.7197;9.60623
50.279;157.942;24.7155;9.61036
50.646;158.554;24.7114;9.61451
51.013;159.15;24.7072;9.61867
51.38;159.732;24.7031;9.62285
51.747;160.3;24.6989;9.62704
52.114;160.856;24.6947;9.63125
52.481;161.4;24.6904;9.63548
52.848;161.933;24.6862;9.63972
53.215;162.456;24.6819;9.64397
53.582;162.969;24.6777;9.64823
53.949;163.474;24.6734;9.65251
54.316;165.003;24.6691;9.6568
54.683;167.498;24.6647;9.66116
55.05;169.925;24.6603;9.66559
55.417;172.286;24.6558;9.67007
55.784;174.582;24.6513;9.67462
56.151;176.814;24.6467;9.67922
56.518;178.983;24.642;9.68389
56.885;181.092;24.6373;9.68861
57.252;183.14;24.6325;9.69338
57.619;185.129;24.6277;9.69821
57.986;187.062;24.6228;9.70309
58.353;188.939;24.6179;9.70802
58.72;190.761;24.6129;9.71299
59.087;192.53;24.6079;9.71802
59.454;194.247;24.6028;9.72309
59.821;195.914;24.5977;9.7282
60.188;197.532;24.5925;9.73336
60.555;199.103;24.5873;9.73856
60.922;200.627;24.5821;9.7438
61.289;202.106;24.5768;9.74908
61.656;203.542;24.5715;9.7544
62.023;204.935;24.5662;9.75975
62.39;206.287;24.5608;9.76514
62.757;207.6;24.5553;9.77056
63.124;208.873;24.5499;9.77602
63.491;210.109;24.5444;9.78152
63.858;211.309;24.5389;9.78704
64.225;212.474;24.5333;9.79259
64.592;213.605;24.5277;9.79818
64.959;214.702;24.5221;9.80379
65.326;215.768;24.5165;9.80944
65.693;216.804;24.5108;9.81511
66.06;217.809;24.5051;9.8208
66.427;218.786;24.4994;9.82653
66.794;219.735;24.4936;9.83227
67.161;220.657;24.4879;9.83805
67.528;221.553;24.4821;9.84384
67.895;222.424;24.4762;9.84966
68.262;223.271;24.4704;9.8555
68.629;224.095;24.4645;9.86137
68.996;224.896;24.4587;9.86725
69.363;225.676;24.4527;9.87316
69.73;226.434;24.4468;9.87908
70.097;227.172;24.4409;9.88503
70.464;227.891;24.4349;9.89099
70.831;228.591;24.4289;9.89698
71.198;229.274;24.4229;9.90298
71.565;229.938;24.4169;9.909
71.932;230.586;24.4109;9.91503
72.299;231.949;24.4048;9.92109
72.666;233.996;24.3987;9.9272
73.033;235.997;24.3926;9.93336
73.4;237.953;24.3863;9.93957
73.767;239.864;24.3801;9.94583
74.134;241.732;24.3738;9.95214
74.501;243.556;24.3674;9.95851
74.868;245.339;24.361;9.96491
75.235;247.079;24.3545;9.97137
75.602;248.779;24.348;9.97787
75.969;250.44;24.3415;9.98441
76.336;252.061;24.3349;9.991
