k;0.367
f;0.02
ke;0.858
max H2;16.3147
max Q;442.433
oscillation t;105

time;Q;H1;H2
62.39;166.05;24.535;7.84017
62.757;166.558;24.5307;7.84453
63.124;167.052;24.5263;7.8489
63.491;167.53;24.5219;7.85329
63.858;167.995;24.5175;7.85768
64.225;168.446;24.5131;7.86209
64.592;168.886;24.5087;7.86652
64.959;169.314;24.5042;7.87095
65.326;169.732;24.4998;7.87539
65.693;170.14;24.4953;7.87985
66.06;170.539;24.4909;7.88431
66.427;170.929;24.4864;7.88879
66.794;171.311;24.4819;7.89327
67.161;171.686;24.4774;7.89777
67.528;172.053;24.4729;7.90228
67.895;172.415;24.4684;7.90679
68.262;172.77;24.4639;7.91131
68.629;173.119;24.4593;7.91585
68.996;173.464;24.4548;7.92039
69.363;173.804;24.4502;7.92494
69.73;174.139;24.4457;7.9295
70.097;174.47;24.4411;7.93407
70.464;174.798;24.4365;7.93865
70.831;175.122;24.4319;7.94324
71.198;175.443;24.4274;7.94783
71.565;175.761;24.4227;7.95244
71.932;176.076;24.4181;7.95705
72.299;177.587;24.4135;7.96167
72.666;180.219;24.4088;7.96636
73.033;182.775;24.4041;7.97112
73.4;185.256;24.3992;7.97594
73.767;187.663;24.3944;7.98083
74.134;189.997;24.3894;7.98578
74.501;192.262;24.3844;7.99079
74.868;194.457;24.3793;7.99586
75.235;196.585;24.3742;8.00098
75.602;198.646;24.369;8.00617
75.969;200.644;24.3638;8.0114
76.336;202.579;24.3585;8.01668
76.703;204.453;24.3532;8.02202
77.07;206.268;24.3478;8.0274
77.437;208.025;24.3424;8.03283
77.804;209.726;24.3369;8.03831
78.171;211.372;24.3314;8.04383
78.538;212.965;24.3258;8.04939
78.905;214.507;24.3202;8.055
79.272;215.999;24.3145;8.06064
79.639;217.443;24.3089;8.06632
80.006;218.84;24.3031;8.07204
80.373;220.191;24.2974;8.07779
80.74;221.498;24.2916;8.08358
81.107;222.763;24.2858;8.08941
81.474;223.987;24.2799;8.09526
81.841;225.171;24.274;8.10115
82.208;226.316;24.2681;8.10707
82.575;227.424;24.2622;8.11301
82.942;228.496;24.2562;8.11899
83.309;229.533;24.2502;8.12499
83.676;230.537;24.2442;8.13103
84.043;231.508;24.2381;8.13708
84.41;232.448;24.232;8.14316
84.777;233.358;24.2259;8.14927
85.144;234.239;24.2198;8.1554
85.511;235.092;24.2136;8.16155
85.878;235.917;24.2075;8.16772
86.245;236.717;24.2013;8.17392
86.612;237.491;24.1951;8.18013
86.979;238.241;24.1888;8.18637
87.346;238.968;24.1826;8.19262
87.713;239.672;24.1763;8.1989
88.08;240.355;24.17;8.20519
88.447;241.016;24.1637;8.2115
88.814;241.658;24.1574;8.21783
89.181;242.28;24.151;8.22417
89.548;242.884;24.1447;8.23053
89.915;243.47;24.1383;8.2369
90.282;244.039;24.1319;8.24329
90.649;244.591;24.1255;8.2497
91.016;245.127;24.1191;8.25612
91.383;245.647;24.1126;8.26255
91.75;246.153;24.1062;8.269
92.117;246.645;24.0997;8.27546
92.484;247.123;24.0933;8.28193
92.851;247.588;24.0868;8.28841
93.218;248.04;24.0803;8.29491
93.585;248.481;24.0738;8.30142
93.952;248.909;24.0672;8.30794
94.319;249.327;24.0607;8.31447
94.686;249.734;24.0542;8.32101
95.053;250.13;24.0476;8.32756
95.42;250.516;24.0411;8.33412
95.787;250.893;24.0345;8.34069
96.154;252.127;24.0279;8.34728
96.521;254.176;24.0213;8.35391
96.888;256.176;24.0146;8.3606
97.255;258.127;24.0078;8.36734
97.622;260.031;24.001;8.37413
97.989;261.888;23.9942;8.38098
98.356;263.7;23.9873;8.38786
98.723;265.466;23.9804;8.3948
99.09;267.188;23.9734;8.40178
99.457;268.868;23.9664;8.40881
99.824;270.504;23.9593;8.41588
100.191;272.1;23.9522;8.42299
100.558;273.654;23.945;8.43014
100.925;275.17;23.9378;8.43734
101.292;276.646;23.9306;8.44457
101.659;278.084;23.9233;8.45184
102.026;279.485;23.916;8.45915
102.393;280.849;23.9087;8.4665
102.76;282.178;23.9013;8.47388
103.127;283.472;23.8939;8.48129
103.494;284.732;23.8864;8.48874
103.861;285.959;23.879;8.49622
104.228;287.154;23.8715;8.50373
104.595;288.317;23.8639;8.51127
104.962;289.449;23.8563;8.51885
105.329;290.551;23.8487;8.52645
105.696;291.623;23.8411;8.53408
106.063;292.667;23.8334;8.54174
106.43;293.682;23.8258;8.54942
106.797;294.671;23.818;8.55714
107.164;295.632;23.8103;8.56487
107.531;296.568;23.8025;8.57263
107.898;297.479;23.7948;8.58042
108.265;298.364;23.787;8.58823
108.632;299.226;23.7791;8.59606
108.999;300.064;23.7713;8.60392
109.366;300.88;23.7634;8.6118
109.733;301.673;23.7555;8.61969
110.1;302.444;23.7476;8.62761
110.467;303.195;23.7396;8.63555
110.834;303.924;23.7317;8.64351
111.201;304.634;23.7237;8.65149
111.568;305.325;23.7157;8.65948
111.935;305.996;23.7077;8.66749
112.302;306.649;23.6997;8.67552
112.669;307.284;23.6916;8.68357
113.036;307.901;23.6836;8.69163
113.403;308.501;23.6755;8.69971
113.77;309.085;23.6674;8.70781
114.137;309.653;23.6593;8.71592
114.504;310.205;23.6511;8.72404
114.871;310.741;23.643;8.73218
115.238;311.263;23.6349;8.74033
115.605;311.771;23.6267;8.7485
115.972;312.264;23.6185;8.75668
116.339;312.744;23.6103;8.76487
116.706;313.21;23.6021;8.77308
117.073;313.664;23.5939;8.78129
117.44;314.105;23.5857;8.78952
117.807;314.533;23.5774;8.79776
118.174;314.95;23.5692;8.80601
118.541;315.356;23.5609;8.81427
118.908;315.75;23.5526;8.82255
119.275;316.133;23.5444;8.83083
119.642;316.505;23.5361;8.83912
120.009;317.494;23.5278;8.84742
120.376;319.073;23.5194;8.85577
120.743;320.62;23.511;8.86415
121.11;322.132;23.5026;8.87258
121.477;323.613;23.4941;8.88104
121.844;325.061;23.4856;8.88954
122.211;326.478;23.4771;8.89808
122.578;327.864;23.4685;8.90666
122.945;329.219;23.4599;8.91527
123.312;330.544;23.4513;8.92392
123.679;331.84;23.4426;8.9326
124.046;333.107;23.4339;8.94132
124.413;334.346;23.4251;8.95007
124.78;335.556;23.4163;8.95885
125.147;336.74;23.4075;8.96766
125.514;337.896;23.3987;8.9765
125.881;339.026;23.3898;8.98537
126.248;340.13;23.3809;8.99428
126.615;341.209;23.372;9.00321
126.982;342.263;23.363;9.01216
127.349;343.292;23.354;9.02115
127.716;344.298;23.345;9.03016
128.083;345.28;23.336;9.0392
128.45;346.239;23.3269;9.04827
128.817;347.175;23.3178;9.05735
129.184;348.089;23.3087;9.06647
129.551;348.981;23.2996;9.0756
129.918;349.852;23.2904;9.08476
130.285;350.702;23.2812;9.09395
130.652;351.531;23.272;9.10315
131.019;352.341;23.2628;9.11238
131.386;353.131;23.2536;9.12162
131.753;353.901;23.2443;9.13089
132.12;354.653;23.235;9.14018
132.487;355.386;23.2257;9.14948
132.854;356.101;23.2164;9.15881
133.221;356.798;23.207;9.16815
133.588;357.478;23.1977;9.17752
133.955;358.141;23.1883;9.1869
134.322;358.787;23.1789;9.19629
134.689;359.416;23.1695;9.20571
135.056;360.03;23.16;9.21514
135.423;360.628;23.1506;9.22458
135.79;361.211;23.1411;9.23404
136.157;361.779;23.1317;9.24352
136.524;362.332;23.1222;9.25301
136.891;362.87;23.1127;9.26252
137.258;363.395;23.1031;9.27204
137.625;363.906;23.0936;9.28157
137.992;364.403;23.0841;9.29112
138.359;364.887;23.0745;9.30067
138.726;365.358;23.0649;9.31025
139.093;365.817;23.0554;9.31983
139.46;366.263;23.0458;9.32943
139.827;366.697;23.0362;9.33903
140.194;367.119;23.0265;9.34865
140.561;367.53;23.0169;9.35828
140.928;367.929;23.0073;9.36792
141.295;368.317;22.9976;9.37757
141.662;368.695;22.988;9.38723
142.029;369.061;22.9783;9.3969
142.396;369.418;22.9686;9.40658
142.763;369.764;22.9589;9.41627
143.13;370.1;22.9492;9.42597
143.497;370.426;22.9395;9.43567
143.864;370.743;22.9298;9.44539
144.231;371.551;22.9201;9.45511
144.598;372.833;22.9103;9.46487
144.965;374.09;22.9005;9.47466
145.332;375.321;22.8907;9.48448
145.699;376.528;22.8808;9.49433
146.066;377.71;22.871;9.50422
146.433;378.869;22.861;9.51414
146.8;380.003;22.8511;9.52408
147.167;381.114;22.8411;9.53406
147.534;382.202;22.8311;9.54407
147.901;383.267;22.8211;9.5541
148.268;384.31;22.811;9.56416
148.635;385.331;22.8009;9.57425
149.002;386.33;22.7908;9.58436
149.369;387.307;22.7807;9.5945
149.736;388.264;22.7705;9.60467
150.103;389.199;22.7603;9.61486
150.47;390.115;22.7501;9.62507
150.837;391.01;22.7399;9.63531
151.204;391.885;22.7296;9.64557
