k;0.367
f;0.02
ke;1.501
max H2;8.65273
max Q;268.364
oscillation t;98

time;Q;H1;H2
0;0;11.9336;5.42272
0.367;1.52432;11.9335;5.42275
0.734;3.02938;11.9335;5.42281
1.101;4.27057;11.9334;5.42291
1.468;5.21954;11.9333;5.42303
1.835;6.04467;11.9331;5.42318
2.202;6.88615;11.9329;5.42335
2.569;8.22155;11.9328;5.42354
2.936;9.92041;11.9325;5.42378
3.303;11.4943;11.9322;5.42406
3.67;12.9509;11.9319;5.42439
4.037;14.3031;11.9316;5.42474
4.404;15.567;11.9312;5.42514
4.771;16.7602;11.9307;5.42556
5.138;17.9009;11.9303;5.42601
5.505;19.0073;11.9298;5.4265
5.872;20.0975;11.9293;5.42701
6.239;21.5553;11.9287;5.42755
6.606;23.3536;11.9282;5.42814
6.973;25.1092;11.9275;5.42878
7.34;26.8219;11.9268;5.42946
7.707;28.4918;11.9261;5.43018
8.074;30.1194;11.9253;5.43095
8.441;31.7054;11.9245;5.43176
8.808;33.251;11.9237;5.43261
9.175;34.7575;11.9228;5.4335
9.542;36.2264;11.9219;5.43444
9.909;37.6595;11.9209;5.4354
10.276;39.0586;11.9199;5.43641
10.643;40.4257;11.9188;5.43745
11.01;41.763;11.9178;5.43853
11.377;43.0726;11.9167;5.43964
11.744;44.3567;11.9155;5.44079
12.111;45.8269;11.9143;5.44197
12.478;47.4778;11.9131;5.44319
12.845;49.1022;11.9118;5.44446
13.212;50.7001;11.9105;5.44576
13.579;52.2717;11.9092;5.44711
13.946;53.8174;11.9078;5.4485
14.313;55.3376;11.9064;5.44994
14.68;56.8326;11.9049;5.45141
15.047;58.3029;11.9034;5.45292
15.414;59.749;11.9018;5.45446
15.781;61.1715;11.9002;5.45605
16.148;62.5708;11.8986;5.45767
16.515;63.9477;11.897;5.45933
16.882;65.3028;11.8953;5.46102
17.249;66.6366;11.8935;5.46275
17.616;67.95;11.8918;5.46452
17.983;69.2435;11.89;5.46631
18.35;70.706;11.8882;5.46815
18.717;72.3356;11.8863;5.47002
19.084;73.9468;11.8844;5.47194
19.451;75.5395;11.8824;5.4739
19.818;77.1138;11.8804;5.4759
20.185;78.6697;11.8784;5.47794
20.552;80.2074;11.8763;5.48002
20.919;81.7269;11.8742;5.48215
21.286;83.2284;11.872;5.48431
21.653;84.712;11.8698;5.48651
22.02;86.1778;11.8675;5.48875
22.387;87.626;11.8653;5.49103
22.754;89.0567;11.863;5.49334
23.121;90.4703;11.8606;5.4957
23.488;91.8667;11.8582;5.49809
23.855;93.2463;11.8558;5.50051
24.222;94.7312;11.8533;5.50298
24.589;96.3211;11.8508;5.50548
24.956;97.8959;11.8483;5.50803
25.323;99.4556;11.8457;5.51061
25.69;101;11.8431;5.51324
26.057;102.53;11.8404;5.51591
26.424;104.045;11.8377;5.51862
26.791;105.544;11.8349;5.52136
27.158;107.029;11.8321;5.52415
27.525;108.499;11.8293;5.52697
27.892;109.954;11.8265;5.52984
28.259;111.394;11.8236;5.53274
28.626;112.819;11.8206;5.53568
28.993;114.23;11.8176;5.53865
29.36;115.626;11.8146;5.54167
29.727;117.008;11.8116;5.54472
30.094;118.463;11.8085;5.5478
30.461;119.99;11.8054;5.55093
30.828;121.504;11.8022;5.55409
31.195;123.005;11.799;5.5573
31.562;124.493;11.7958;5.56054
31.929;125.968;11.7925;5.56382
