k;0.367
f;0.02
ke;0
max H2;10.4127
max Q;521.216
oscillation t;12305.2

time;Q;H1;H2
0;0;18;0
0.367;-2.47961;17.9999;7.62176e-005
0.734;-3.51428;17.9999;0.00012697
1.101;-4.44027;17.9998;0.000178131
1.468;-3.75172;17.9998;0.000225304
1.835;0.841968;17.9997;0.000251462
2.202;4.26641;17.9997;0.000348025
2.569;6.89528;17.9995;0.000510031
2.936;8.19022;17.9993;0.000725292
3.303;8.93244;17.999;0.000959476
3.67;9.40684;17.9988;0.00120488
4.037;9.74968;17.9985;0.00145843
4.404;10.0307;17.9983;0.00171882
4.771;10.2868;17.998;0.00198557
5.138;10.5379;17.9977;0.00225863
5.505;10.7949;17.9975;0.00253817
5.872;11.0648;17.9972;0.00282451
6.239;11.3523;17.9969;0.00311811
6.606;11.6612;17.9966;0.00341947
6.973;11.9953;17.9963;0.00372923
7.34;12.3587;17.996;0.00404808
7.707;12.756;17.9956;0.00437686
8.074;13.1929;17.9953;0.00471652
8.441;13.6765;17.9949;0.00506818
8.808;14.2153;17.9946;0.00543315
9.175;14.8206;17.9942;0.00581302
9.542;15.5066;17.9938;0.00620968
9.909;18.1019;17.9934;0.00662545
10.276;21.8504;17.9928;0.00715444
10.643;24.9005;17.9922;0.00777221
11.01;27.3327;17.9915;0.00846117
11.377;29.2505;17.9908;0.00920638
11.744;30.7579;17.99;0.00999573
12.111;31.9476;17.9892;0.0108198
12.478;32.8967;17.9883;0.0116713
12.845;33.6665;17.9875;0.012545
13.212;34.3044;17.9866;0.0134368
13.579;34.8463;17.9857;0.0143438
13.946;35.3192;17.9847;0.0152639
14.313;35.743;17.9838;0.0161957
14.68;36.1326;17.9829;0.017138
15.047;36.4989;17.9819;0.0180901
15.414;36.85;17.9809;0.0190516
15.781;37.1918;17.98;0.0200222
16.148;37.529;17.979;0.0210016
16.515;37.8649;17.978;0.0219898
16.882;38.202;17.977;0.0229868
17.249;38.5423;17.976;0.0239926
17.616;38.8874;17.975;0.0250075
17.983;39.2386;17.974;0.0260314
18.35;39.5968;17.9729;0.0270647
18.717;39.9631;17.9719;0.0281074
19.084;40.3381;17.9708;0.0291599
19.451;40.7227;17.9698;0.0302223
19.818;41.1175;17.9687;0.0312949
20.185;41.5231;17.9676;0.032378
20.552;41.9402;17.9665;0.0334718
20.919;42.3695;17.9654;0.0345768
21.286;42.8117;17.9643;0.0356932
21.653;43.2674;17.9632;0.0368213
22.02;43.7375;17.962;0.0379616
22.387;44.2226;17.9609;0.0391144
22.754;44.7238;17.9597;0.0402801
23.121;45.2417;17.9585;0.0414592
23.488;45.7775;17.9573;0.042652
23.855;46.3321;17.9561;0.0438592
24.222;48.8452;17.9549;0.0450811
24.589;53.0663;17.9536;0.0464186
24.956;57.0355;17.9521;0.0478634
25.323;60.7532;17.9506;0.049409
25.69;64.2233;17.949;0.0510488
26.057;67.452;17.9472;0.0527763
26.424;70.4483;17.9454;0.0545853
26.791;73.2223;17.9435;0.0564699
27.158;75.7857;17.9416;0.0584244
27.525;78.1508;17.9396;0.0604434
27.892;80.3304;17.9375;0.0625218
28.259;82.3373;17.9353;0.0646551
28.626;84.1844;17.9332;0.0668388
28.993;85.8842;17.9309;0.0690688
29.36;87.4486;17.9287;0.0713416
29.727;88.8892;17.9263;0.0736537
30.094;90.2167;17.924;0.0760021
30.461;91.4414;17.9216;0.0783837
30.828;92.5727;17.9192;0.0807963
31.195;93.6195;17.9168;0.0832373
31.562;94.5899;17.9143;0.0857047
31.929;95.4914;17.9118;0.0881965
32.296;96.3308;17.9093;0.0907112
32.663;97.1143;17.9068;0.0932471
33.03;97.8478;17.9042;0.0958028
33.397;98.5364;17.9016;0.0983771
33.764;99.1848;17.899;0.100969
34.131;99.7972;17.8964;0.103577
34.498;100.378;17.8938;0.106201
34.865;100.929;17.8912;0.10884
35.232;101.456;17.8885;0.111493
35.599;101.959;17.8858;0.114159
35.966;102.443;17.8832;0.116838
36.333;102.909;17.8805;0.11953
36.7;103.36;17.8778;0.122234
37.067;103.796;17.8751;0.124949
37.434;104.221;17.8723;0.127676
37.801;104.635;17.8696;0.130413
38.168;105.039;17.8668;0.133162
38.535;105.436;17.8641;0.13592
38.902;105.826;17.8613;0.138689
39.269;106.21;17.8585;0.141469
39.636;106.589;17.8557;0.144258
40.003;106.964;17.8529;0.147057
40.37;107.336;17.8501;0.149866
40.737;107.705;17.8473;0.152684
41.104;108.071;17.8445;0.155513
41.471;108.436;17.8416;0.15835
41.838;108.8;17.8388;0.161198
42.205;109.164;17.8359;0.164055
42.572;109.527;17.8331;0.166921
42.939;109.89;17.8302;0.169797
43.306;110.254;17.8273;0.172682
43.673;110.619;17.8244;0.175577
44.04;110.985;17.8215;0.178482
44.407;111.352;17.8186;0.181396
44.774;111.721;17.8157;0.18432
45.141;112.091;17.8127;0.187254
45.508;112.464;17.8098;0.190197
45.875;112.839;17.8069;0.19315
46.242;113.216;17.8039;0.196113
46.609;113.596;17.8009;0.199086
46.976;113.978;17.7979;0.202068
47.343;114.364;17.7949;0.205061
47.71;114.752;17.7919;0.208064
48.077;116.493;17.7889;0.211078
48.444;119.457;17.7858;0.214171
48.811;122.292;17.7827;0.217341
49.178;125.003;17.7794;0.220583
49.545;127.593;17.7761;0.223894
49.912;130.066;17.7727;0.227272
50.279;132.426;17.7693;0.230714
50.646;134.677;17.7658;0.234215
51.013;136.824;17.7622;0.237775
51.38;138.87;17.7586;0.241389
51.747;140.82;17.7549;0.245055
52.114;142.679;17.7512;0.248772
52.481;144.449;17.7475;0.252536
52.848;146.135;17.7437;0.256345
53.215;147.742;17.7398;0.260198
53.582;149.272;17.7359;0.264091
